transcript_id	length.x	Raw count (GSNO_1)	Raw count (GSNO_2)	Raw count (GSNO_3)	Raw count (wt_1)	Raw count (wt_2)	Raw count (wt_3)	FPKM (GSNO_1)	FPKM (GSNO_2)	FPKM (GSNO_3)	FPKM (wt_1)	FPKM (wt_2)	FPKM (wt_3)	logFC (GSNO_1-wt_1)	logFC (GSNO_2-wt_2)	logFC (GSNO_3-wt_3)	logFC (GSNO_1,GSNO_2,GSNO_3-wt_1,wt_2,wt_3)	pvalue (GSNO_1-wt_1)	pvalue (GSNO_2-wt_2)	pvalue (GSNO_3-wt_3)	UniprotKB_gene.x	pident.x	length.y	mismatch.x	gapopen.x	qstart.x	qend.x	sstart.x	send.x	evalue.x	bitscore.x	UniprotKB_gene.y	pident.y	length	mismatch.y	gapopen.y	qstart.y	qend.y	sstart.y	send.y	evalue.y	bitscore.y	Pfam	SignalP	TmHMM	COGs (eggnog)	GOs	KEGGs	EC number
TRINITY_DN111_c0_g1_i1	428	0	0	0	7	9	8	0	0	0	7014.79	9235.64	10082.93	-	-	-	-	-	-	-	MPC3_YEAST	67.033	91	30	0	1	91	35	125	8.29e-41	134	MPC3_YEAST	67.033	91	30	0	1	273	35	125	4.72e-40	134	.	.	.	.	GO:0031305, cellular_component, integral component of mitochondrial inner membrane | GO:0031966, cellular_component, mitochondrial membrane | GO:0050833, molecular_function, pyruvate transmembrane transporter activity | GO:1902361, biological_process, mitochondrial pyruvate transmembrane transport | GO:0006850, biological_process, mitochondrial pyruvate transport | 	.	-
TRINITY_DN113_c0_g1_i1	204	0	0	0	5	3	3	0	0	0	19540.64	11737.78	18174.11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ACH1_CANGA	100	67	0	0	2	202	456	522	3.24e-44	151	.	.	.	COG0427: Acetyl-CoA hydrolase	GO:0005829, cellular_component, cytosol | GO:0005739, cellular_component, mitochondrion | GO:0008775, molecular_function, acetate CoA-transferase activity | GO:0003986, molecular_function, acetyl-CoA hydrolase activity | GO:0006083, biological_process, acetate metabolic process | GO:0006084, biological_process, acetyl-CoA metabolic process | 	KO:K01067.	3.1.2.1,2.8.3,2.8.3.8,3.1.2,2,2.8,3,3.1,3.1.2
TRINITY_DN115_c0_g1_i1	222	0	0	1	2	1	3	0	0	3189.98	6357.46	3201.4	14197.49	-	-	-1.68957789823682	-	-	-	0.658385093167702	-	-	-	-	-	-	-	-	-	-	-	NCE2_YEAST	84.507	71	11	0	221	9	35	105	3.24e-28	102	.	.	.	.	GO:0033101, cellular_component, cellular bud membrane | GO:0032126, cellular_component, eisosome | GO:0016021, cellular_component, integral component of membrane | GO:0070250, cellular_component, mating projection membrane | GO:0005886, cellular_component, plasma membrane | GO:0070941, biological_process, eisosome assembly | GO:0090002, biological_process, establishment of protein localization to plasma membrane | GO:0001933, biological_process, negative regulation of protein phosphorylation | GO:0007009, biological_process, plasma membrane organization | GO:0009306, biological_process, protein secretion | GO:0060237, biological_process, regulation of fungal-type cell wall organization | GO:0061091, biological_process, regulation of phospholipid translocation | 	.	-
TRINITY_DN117_c0_g1_i1	372	6	4	3	10	8	9	6304.65	4099.58	3670.91	12320.81	10078.23	14241.45	-0.820223080490751	-1.19352057249876	-1.77290412008327	-1.08873504806181	0.580435588657284	0.390133159226838	0.189983809938349	ACO1_YEAST	55.118	127	36	2	17	122	11	137	1.93e-39	140	ACO1_YEAST	59.821	112	30	1	77	367	26	137	5.77e-25	101	.	.	.	.	GO:0030176, cellular_component, integral component of endoplasmic reticulum membrane | GO:0009055, molecular_function, electron carrier activity | GO:0020037, molecular_function, heme binding | GO:0046872, molecular_function, metal ion binding | GO:0004768, molecular_function, stearoyl-CoA 9-desaturase activity | GO:0000001, biological_process, mitochondrion inheritance | GO:0006636, biological_process, unsaturated fatty acid biosynthetic process | 	KO:K00507.	1.14.19.1,1.14.19,1,1.14,1.14.19
TRINITY_DN118_c0_g1_i1	353	8	3	4	17	16	20	9140.69	3339.28	5310.27	22713.76	21843.12	34641.63	-1.17123365166823	-2.58269432048219	-2.51545516957028	-1.76529314440661	0.241983056496189	0.0297217605337739	0.0191124192825838	-	-	-	-	-	-	-	-	-	-	-	COX8_YEAST	53.846	78	27	2	111	323	1	76	2.5e-08	50.4	.	.	.	.	GO:0005751, cellular_component, mitochondrial respiratory chain complex IV | GO:0004129, molecular_function, cytochrome-c oxidase activity | GO:0006123, biological_process, mitochondrial electron transport, cytochrome c to oxygen | 	KO:K02272.	1.9.3.1,1,1.9,1.9.3
TRINITY_DN120_c0_g1_i1	264	2	7	1	0	0	0	3862.19	13045.17	2203.44	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	DHE4_SACU7	82.759	87	15	0	3	263	236	322	2.01e-44	151	.	.	.	.	GO:0004352, molecular_function, glutamate dehydrogenase (NAD+) activity | GO:0004354, molecular_function, glutamate dehydrogenase (NADP+) activity | GO:0006520, biological_process, cellular amino acid metabolic process | 	.	1.4.1.2,1.4.1.4,1,1.4,1.4.1
TRINITY_DN121_c0_g1_i1	248	1	1	3	1	0	0	2203.11	2119.67	7496.66	2499.01	0	0	-0.0859285842709507	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	MPG1_YEAST	98.611	72	1	0	33	248	1	72	3.34e-43	145	.	.	.	.	.	.	-
TRINITY_DN121_c0_g2_i1	231	3	4	0	1	1	0	7767.13	9924.43	0	2906.08	2933.1	0	1.38457557438005	1.66951020061028	-	0.97058629525942	0.658385093167702	0.43064182194617	-	-	-	-	-	-	-	-	-	-	-	-	MPG11_CANGA	100	77	0	0	231	1	83	159	4.4e-49	160	-	-	-	-	-	-	-
TRINITY_DN123_c0_g1_i1	645	3	8	4	15	11	16	1462.86	3834.09	2302.03	8721.84	6565.71	11266.84	-2.36934160551872	-0.671008858104074	-2.19558620192954	-1.40561960893345	0.0493358128508295	0.514813299540291	0.0572733467616672	COX6_YEAST	81.046	153	22	3	1	151	1	148	3.78e-79	233	COX6_YEAST	81.046	153	22	3	542	90	1	148	5.6e-78	233	.	.	.	.	GO:0005751, cellular_component, mitochondrial respiratory chain complex IV | GO:0004129, molecular_function, cytochrome-c oxidase activity | GO:0046872, molecular_function, metal ion binding | GO:0006123, biological_process, mitochondrial electron transport, cytochrome c to oxygen | 	KO:K02264.	1.9.3.1,1,1.9,1.9.3
TRINITY_DN124_c0_g1_i1	161	0	2	1	0	1	1	0	14935.96	8388.07	0	8005.32	14813.72	-	0.715707598880234	-0.207323268348693	0.0515304907476507	-	1	1	-	-	-	-	-	-	-	-	-	-	-	PMM_YEAST	96.154	52	2	0	2	157	167	218	5.31e-31	110	.	.	.	.	GO:0010494, cellular_component, cytoplasmic stress granule | GO:0005829, cellular_component, cytosol | GO:0004615, molecular_function, phosphomannomutase activity | GO:0009298, biological_process, GDP-mannose biosynthetic process | GO:0019853, biological_process, L-ascorbic acid biosynthetic process | GO:0006013, biological_process, mannose metabolic process | GO:0006487, biological_process, protein N-linked glycosylation | GO:0045047, biological_process, protein targeting to ER | GO:0009651, biological_process, response to salt stress | 	KO:K17497.	5.4.2.8,5,5.4,5.4.2
TRINITY_DN124_c0_g2_i1	333	4	8	10	0	0	0	5033.04	9791.38	14578.58	0	0	0	-	-	-	-	-	-	-	PMM_YEAST	90.909	110	10	0	1	110	64	173	3.35e-69	210	PMM_YEAST	90.909	110	10	0	3	332	64	173	3.72e-69	210	-	-	-	-	-	-	-
TRINITY_DN126_c0_g1_i1	346	11	11	10	9	9	4	12986.42	12644.83	13704.34	12410.88	12677.59	7178.15	0.190448429888833	0.0680807732567256	1.06724484815577	0.699980226111013	0.876185567281955	1	0.390133159226838	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	.	.	.	.	.	.	-
TRINITY_DN127_c0_g1_i1	439	4.41	8.38	9.99	0	0	2	3608.49	6715.24	9578.43	0	0	2423.74	-	-	2.02750602431922	2.90675113194073	-	-	0.137873920182766	-	-	-	-	-	-	-	-	-	-	-	RS28_CANGA	98.507	67	1	0	358	158	1	67	3.33e-38	127	.	.	.	COG2053: Ribosomal protein	GO:0005840, cellular_component, ribosome | GO:0003735, molecular_function, structural constituent of ribosome | GO:0006412, biological_process, translation | 	KO:K02979.	-
TRINITY_DN127_c0_g2_i1	388	23.59	28.62	17.01	2	2	1	23218.81	27495	19525.42	2312.54	2365.73	1474.85	3.41142414785927	3.5631120833672	3.7087641818193	3.50002900432175	0.00281198466110548	0.00114105268048252	0.00547933918345486	-	-	-	-	-	-	-	-	-	-	-	RS28_CANGA	100	67	0	0	358	158	1	67	5.58e-40	131	-	-	-	-	-	-	-
TRINITY_DN128_c0_g1_i1	189	3	3	0	0	2	0	13438.87	12688.91	0	0	9572.86	0	-	0.346705974348714	-	0.97058629525942	-	1	-	-	-	-	-	-	-	-	-	-	-	-	FKBP_CANGA	100	62	0	0	188	3	45	106	2.42e-39	128	.	.	.	.	.	.	-
TRINITY_DN128_c0_g2_i1	185	2	1	3	4	2	2	9602.09	4522.37	15576.4	20533.46	10172.22	16775.43	-1.04929241767246	-1.11944270513001	0.334722600933796	-0.501287107913628	0.726708074534161	1	1	-	-	-	-	-	-	-	-	-	-	-	FKBP_CANGA	100	49	0	0	147	1	1	49	8.62e-29	101	-	-	-	-	-	-	-
TRINITY_DN129_c0_g1_i1	333	3	1	3	2	3	6	3774.78	1223.92	4373.57	2932.74	4491.13	11538.51	0.464504275442185	-1.67791584103168	-1.19700777727729	-0.901544202881506	1	0.658385093167702	0.585507246376812	ADH1_YEAST	94.545	110	6	0	1	110	62	171	5.66e-70	215	ADH1_YEAST	93.407	91	6	0	59	331	81	171	1.15e-55	179	.	.	.	.	GO:0005737, cellular_component, cytoplasm | GO:0004022, molecular_function, alcohol dehydrogenase (NAD) activity | GO:0019170, molecular_function, methylglyoxal reductase (NADH-dependent) activity | GO:0008270, molecular_function, zinc ion binding | GO:0000947, biological_process, amino acid catabolic process to alcohol via Ehrlich pathway | GO:0043458, biological_process, ethanol biosynthetic process involved in glucose fermentation to ethanol | GO:0006116, biological_process, NADH oxidation | 	KO:K13953.	1.1.1.1,1,1.1,1.1.1,1.1.1.78
TRINITY_DN129_c0_g2_i1	233	3	3	2	5	4	2	7610.76	7297.21	5713.31	14258.05	11517.69	8316.04	-0.807250837177228	-0.613375327791926	-0.219489603505769	-0.344604777813167	0.769726247987118	1	1	-	-	-	-	-	-	-	-	-	-	-	ADH4_KLULA	90.323	62	6	0	188	3	29	90	1.74e-37	131	-	-	-	-	-	-	-
TRINITY_DN13_c0_g1_i1	193	1	1	2	0	0	0	4195.77	3970.03	9164.6	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	MDM35_YEAST	83.784	37	6	0	191	81	49	85	4.8e-15	65.9	.	.	.	.	GO:0005758, cellular_component, mitochondrial intermembrane space | GO:0005634, cellular_component, nucleus | GO:0033108, biological_process, mitochondrial respiratory chain complex assembly | GO:0007005, biological_process, mitochondrion organization | GO:0045332, biological_process, phospholipid translocation | GO:0015914, biological_process, phospholipid transport | GO:0006626, biological_process, protein targeting to mitochondrion | 	KO:K17968.	-
TRINITY_DN130_c0_g1_i1	276	1	1	0	7	1	4	1767.19	1708.51	0	14205.79	2063.77	11156.61	-2.75342401759335	-0.19611189703608	-	-1.82060000739328	0.124959742351047	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
TRINITY_DN131_c0_g1_i1	161	1	0	1	0	1	1	8081.33	0	8388.07	0	8005.32	14813.72	-	-	-0.207323268348693	0.0515304907476507	-	-	1	-	-	-	-	-	-	-	-	-	-	-	VATG_YEAST	80.435	46	9	0	138	1	1	46	1.04e-19	78.2	.	.	.	.	GO:0000221, cellular_component, vacuolar proton-transporting V-type ATPase, V1 domain | GO:0046961, molecular_function, proton-transporting ATPase activity, rotational mechanism | GO:0007035, biological_process, vacuolar acidification | 	KO:K02152.	3.6.1,3,3.6,3.6.1,3.6.3,3.6.1.3,3.6.1.15
TRINITY_DN132_c0_g1_i1	524	6	1	4	4	6	7	3837.22	627.28	3008.46	3036.62	4670.93	6538.09	0.476101023952931	-2.65093099245716	-1.01610865494413	-0.513814719175371	0.799900049975013	0.18695652173913	0.497905885766794	ENO2_CANGA	100	174	0	0	1	174	128	301	1.06e-124	360	ENO2_CANGA	100	174	0	0	2	523	128	301	1.18e-124	360	.	.	.	COG0148: Catalyzes the reversible conversion of 2- phosphoglycerate into phosphoenolpyruvate. It is essential for the degradation of carbohydrates via glycolysis (By similarity)	GO:0005829, cellular_component, cytosol | GO:0000015, cellular_component, phosphopyruvate hydratase complex | GO:0000287, molecular_function, magnesium ion binding | GO:0004634, molecular_function, phosphopyruvate hydratase activity | GO:0006096, biological_process, glycolytic process | 	KO:K01689.	4.2.1.11,4,4.2,4.2.1
TRINITY_DN133_c0_g1_i1	261	1	0	0	2	4	3	1976.91	0	0	4513.37	9163.28	9470.95	-1.00599988320882	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	GPP2_YEAST	80	85	17	0	4	258	95	179	2.15e-44	146	-	-	-	-	-	-	-
TRINITY_DN133_c0_g2_i1	272	1	1	0	5	2	2	1818.67	1757.28	0	10427.22	4239.74	5757.85	-2.27775499582823	-1.11944270513001	-	-1.4203429124254	0.282608695652174	1	-	-	-	-	-	-	-	-	-	-	-	-	GPP1_YEAST	87.778	90	11	0	1	270	10	99	4.66e-53	168	.	.	.	.	GO:0005737, cellular_component, cytoplasm | GO:0005634, cellular_component, nucleus | GO:0000121, molecular_function, glycerol-1-phosphatase activity | GO:0046872, molecular_function, metal ion binding | GO:0006114, biological_process, glycerol biosynthetic process | GO:0006970, biological_process, response to osmotic stress | 	KO:K06116.	3.1.3.21,3,3.1,3.1.3,3.1.3.41,3.1
TRINITY_DN134_c0_g1_i1	162	0	0	1	1	1	0	0	0	8188.33	8059.45	7824.85	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
TRINITY_DN135_c0_g1_i1	158	1	1	2	0	0	0	8773.32	8076.11	18084.16	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	NSA2_CANGA	100	39	0	0	39	155	32	70	1.96e-18	77.8	.	.	.	COG2007: 40S ribosomal protein S8	GO:0005730, cellular_component, nucleolus | GO:0030687, cellular_component, preribosome, large subunit precursor | GO:0000466, biological_process, maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) | GO:0000463, biological_process, maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) | 	KO:K14842.	-
TRINITY_DN136_c0_g1_i1	283	3	3	2	0	1	0	5051.19	4888.01	3863.45	0	1972.34	0	-	1.27003678244265	-	-	-	0.658385093167702	-	-	-	-	-	-	-	-	-	-	-	-	SSB1_ZYGRC	90.426	94	9	0	283	2	492	585	1.73e-39	140	.	.	.	.	GO:0005737, cellular_component, cytoplasm | GO:0005844, cellular_component, polysome | GO:0005524, molecular_function, ATP binding | GO:0016887, molecular_function, ATPase activity | GO:0005516, molecular_function, calmodulin binding | GO:0051082, molecular_function, unfolded protein binding | GO:0051083, biological_process, 'de novo' cotranslational protein folding | GO:0042149, biological_process, cellular response to glucose starvation | GO:0002181, biological_process, cytoplasmic translation | GO:0006450, biological_process, regulation of translational fidelity | GO:0000054, biological_process, ribosomal subunit export from nucleus | GO:0006364, biological_process, rRNA processing | GO:0006452, biological_process, translational frameshifting | GO:0006415, biological_process, translational termination | 	KO:K03283.	3.6.1,3,3.6,3.6.1,3.6.1.3,3.6.1.15
TRINITY_DN137_c0_g1_i1	192	0	0	0	3	1	1	0	0	0	13816.67	4582.87	7369.31	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	NDK_YEAST	73.684	57	15	0	22	192	3	59	1.4e-25	94.4	.	.	.	.	GO:0005829, cellular_component, cytosol | GO:0005758, cellular_component, mitochondrial intermembrane space | GO:0005524, molecular_function, ATP binding | GO:0042802, molecular_function, identical protein binding | GO:0046872, molecular_function, metal ion binding | GO:0004550, molecular_function, nucleoside diphosphate kinase activity | GO:0006974, biological_process, cellular response to DNA damage stimulus | GO:0006241, biological_process, CTP biosynthetic process | GO:0006281, biological_process, DNA repair | GO:0006183, biological_process, GTP biosynthetic process | GO:0006165, biological_process, nucleoside diphosphate phosphorylation | GO:0009142, biological_process, nucleoside triphosphate biosynthetic process | GO:0006228, biological_process, UTP biosynthetic process | 	KO:K00940.	2.7.4.6,2,2.7,2.7.4
TRINITY_DN138_c0_g1_i1	171	0	0	0	1	3	0	0	0	0	6617.65	19445.42	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ODPB_YEAST	97.5	40	1	0	50	169	111	150	1.92e-21	87.4	-	-	-	-	-	-	-
TRINITY_DN139_c0_g2_i1	416	4	4	6	5	6	5	3543.51	3463.97	6214.35	5219.32	6411.89	6589.46	-0.40718086119423	-0.785308894810799	0.0291941319186315	0.0565571064648791	1	0.799900049975013	1	ARF1_YEAST	100	119	0	0	1	119	1	119	1.16e-83	244	ARF1_YEAST	100	119	0	0	58	414	1	119	2.82e-83	244	-	-	-	-	-	-	-
TRINITY_DN14_c0_g1_i1	183	1	0	0	0	2	0	4977.87	0	0	0	10499.18	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	FET3_CANGA	98.333	60	1	0	181	2	24	83	5.54e-37	132	.	.	.	COG2132: Multicopper oxidase	GO:0033573, cellular_component, high-affinity iron permease complex | GO:0005507, molecular_function, copper ion binding | GO:0004322, molecular_function, ferroxidase activity | GO:0005381, molecular_function, iron ion transmembrane transporter activity | GO:1901684, biological_process, arsenate ion transmembrane transport | GO:0006827, biological_process, high-affinity iron ion transmembrane transport | GO:0033215, biological_process, iron assimilation by reduction and transport | GO:0046688, biological_process, response to copper ion | 	KO:K19791.	1.16.3.1,1,1.16,1.16.3
TRINITY_DN140_c0_g1_i1	568	64	57	42	24	30	17	36765.23	32144.68	28417.72	16397.46	21028.11	14193.62	1.31403731711799	0.703285699103761	1.06659110427288	1.2235199277579	0.0870805693317121	0.344280547536774	0.202661542194312	TCTP_CANGA	100	167	0	0	1	167	1	167	1.51e-120	339	TCTP_CANGA	100	167	0	0	59	559	1	167	2.82e-103	297	.	.	.	ENOG4111FVP: tumor protein	GO:0010494, cellular_component, cytoplasmic stress granule | GO:0005829, cellular_component, cytosol | GO:0005874, cellular_component, microtubule | GO:0005739, cellular_component, mitochondrion | GO:0005840, cellular_component, ribosome | GO:0034599, biological_process, cellular response to oxidative stress | GO:0002181, biological_process, cytoplasmic translation | 	.	-
TRINITY_DN140_c0_g2_i1	194	0	3	2	3	2	2	0	11729.01	9031.14	13419.58	8912.38	14234.57	-	0.346705974348714	-0.219489603505769	0.0545612470697729	-	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
TRINITY_DN141_c0_g1_i1	164	0	0	1	1	1	0	0	0	7813.11	7692.49	7484.58	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
TRINITY_DN142_c0_g1_i1	152	0	0	3	0	0	0	0	0	31963.52	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	.	.	.	.	.	.	-
TRINITY_DN142_c0_g2_i1	524	58	59	57	3	2	6	37093.15	37009.23	42870.58	2277.47	1556.98	5604.08	4.12260329663055	4.58438266862924	2.9907950185949	3.8737233380254	2.8439897862759e-05	9.78616912528543e-06	0.000994699439974227	RS12_YEAST	91.935	124	10	0	19	142	20	143	2.26e-68	206	RS12_YEAST	91.935	124	10	0	146	517	20	143	2.1e-65	199	-	-	-	-	-	-	-
TRINITY_DN143_c0_g1_i1	185	0	0	0	2	1	2	0	0	0	10266.73	5086.11	16775.43	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	LCF4_YEAST	60.465	43	17	0	57	185	79	121	8.86e-14	66.6	.	.	.	.	GO:0010494, cellular_component, cytoplasmic stress granule | GO:0005811, cellular_component, lipid particle | GO:0005886, cellular_component, plasma membrane | GO:0005524, molecular_function, ATP binding | GO:0102391, molecular_function, decanoate--CoA ligase activity | GO:0004467, molecular_function, long-chain fatty acid-CoA ligase activity | GO:0044539, biological_process, long-chain fatty acid import | GO:0035336, biological_process, long-chain fatty-acyl-CoA metabolic process | GO:1905329, biological_process, sphingoid long-chain base transport | 	KO:K01897.	6.2.1.3,6.2.1,6,6.2,6.2.1,6.2.1.3
TRINITY_DN144_c0_g1_i1	153	0	0	0	2	2	1	0	0	0	20354.78	19536.4	19054.51	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ARPC5_YEAST	75	40	9	1	33	152	3	41	3.1e-13	62.4	-	-	-	-	-	-	-
TRINITY_DN144_c0_g2_i1	225	0	0	1	2	6	1	0	0	3091.69	6164.94	18640.49	4561.67	-	-	-0.207323268348693	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	ARPC5_YEAST	60	75	30	0	1	225	36	110	1.55e-25	95.1	-	-	-	-	-	-	-
TRINITY_DN146_c0_g1_i1	211	2	1	0	2	0	1	6501.02	3097.58	0	7177.31	0	5471.54	-0.0909811256330088	-	-	0.0515304907476507	1	-	-	-	-	-	-	-	-	-	-	-	-	-	MPG12_CANGA	100	70	0	0	2	211	273	342	9.31e-43	144	-	-	-	-	-	-	-
TRINITY_DN146_c0_g2_i1	182	1	1	0	2	0	1	5070.79	4768.1	0	10792.38	0	8904.09	-1.00599988320882	-	-	0.0515304907476507	1	-	-	-	-	-	-	-	-	-	-	-	-	-	MPG12_CANGA	100	23	0	0	2	70	339	361	5.8e-07	47.4	-	-	-	-	-	-	-
